adm0_src,adm0_name,adm0_name1,adm0_point,adm1_line,adm1_point,adm2_line,adm2_point,adm3_line,adm3_point,adm4_line,adm4_point
BRB,Barbados,Barbados,4,4,9,,,,,,
BRN,Brunei Darussalam,Brunei Darussalam,4,4,7,8,9,,,,
BTN,Bhutan,Bhutan,3,4,7,8,9,,,,
BVT,Bouvet Island (Nor.),Bouvet Island,9,,,,,,,,
BWA,Botswana,Botswana,2,4,5,6,7,,,,
CAF,Central African Republic,Central African Republic,3,4,5,6,7,8,9,,
CAN,Canada,Canada,2,3,4,5,6,7,9,,
CCK,Cocos (Keeling) Islands (Aust.),Cocos (Keeling) Islands,4,,,,,,,,
CHE,Switzerland,Switzerland,4,4,7,8,9,10,11,,
CHL,Chile,Chile,2,4,5,6,7,8,9,,
CHN,China,China,2,3,4,5,6,,,,
CHN_1,China,China,2,3,4,5,6,,,,
CIV,Côte d'Ivoire,Côte d'Ivoire,3,4,6,7,8,9,10,,
CMR,Cameroon,Cameroon,3,4,5,6,7,8,9,,
COD,Democratic Republic of the Congo,Democratic Republic of the Congo,2,4,5,6,7,,,,
COG,Congo,Congo,3,4,5,6,7,,,,
COK,Cook Islands (NZ),Cook Islands,4,,,,,,,,
COL,Colombia,Colombia,2,4,6,7,9,,,,
COM,Comoros,Comoros,4,4,6,7,8,9,10,,
CPT,Clipperton Island (Fr.),Clipperton Island,5,,,,,,,,
CPV,Cabo Verde,Cabo Verde,4,4,8,9,10,,,,
CRI,Costa Rica,Costa Rica,3,4,6,7,9,,,,
CUB,Cuba,Cuba,2,4,6,7,8,,,,
CUW,Curaçao (Neth.),Curaçao,4,,,,,,,,
CXR,Christmas Island (Aust.),Christmas Island,4,,,,,,,,
CYM,Cayman Islands (UK),Cayman Islands,4,4,9,,,,,,
CYP,Cyprus,Cyprus,4,4,7,,,,,,
CZE,Czechia,Czechia,3,4,6,7,8,,,,
DEU,Germany,Germany,2,4,5,6,8,9,10,,
DJI,Djibouti,Djibouti,3,4,6,7,8,,,,
DMA,Dominica,Dominica,4,4,9,,,,,,
DNK,Denmark,Denmark,2,4,6,7,8,,,,
DOM,Dominican Republic,Dominican Republic,3,4,7,8,9,10,11,,
DZA,Algeria,Algeria,2,4,6,7,9,,,,
ECU,Ecuador,Ecuador,2,4,6,7,8,9,10,,
EGY,Egypt,Egypt,2,4,6,7,9,,,,
ERI,Eritrea,Eritrea,3,4,6,7,8,,,,
ESH,Western Sahara,Western Sahara,2,4,5,,,,,,
ESP_1,Spain,Spain,2,4,5,6,7,8,9,10,11
ESP_2,Canary Islands (Sp.),Spain,4,4,5,6,7,8,9,10,11
ESP_3,Plazas de soberanía (Sp.),Spain,4,4,5,6,7,8,9,10,11
EST,Estonia,Estonia,3,4,6,7,8,9,10,,
ETH,Ethiopia,Ethiopia,2,4,5,6,7,8,9,,
FIN,Finland,Finland,2,4,5,6,7,8,9,10,11
FJI,Fiji,Fiji,4,4,5,6,7,8,9,,
FLK,Falkland Islands (Malvinas),Falkland Islands (Malvinas),4,,,,,,,,
FRA,France,France,2,4,5,6,7,8,9,10,11
FRO,Faroe Islands (Den.),Faroe Islands,4,4,7,8,9,,,,
FSM,Micronesia (Federated States of),Micronesia (Federated States of),4,4,6,7,9,,,,
GAB,Gabon,Gabon,2,4,5,6,7,,,,
GBR,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,2,4,5,6,7,8,9,,
GEO,Georgia,Georgia,3,4,6,,,,,,
GEO_1,Georgia,Georgia,3,4,6,,,,,,
GEO_2,Abkhazia,Georgia,4,4,6,,,,,,
GEO_3,Ajaria,Georgia,4,4,6,,,,,,
GGY,Guernsey (UK),Guernsey,5,4,10,,,,,,
GHA,Ghana,Ghana,2,4,6,7,8,,,,
GIB,Gibraltar (UK),Gibraltar,4,,,,,,,,
GIN,Guinea,Guinea,2,4,5,6,7,8,9,,
GLP,Guadeloupe (Fr.),Guadeloupe,5,4,7,8,9,,,,
GMB,Gambia,Gambia,3,4,7,8,9,,,,
GNB,Guinea-Bissau,Guinea-Bissau,3,4,6,7,8,,,,
GNQ,Equatorial Guinea,Equatorial Guinea,3,4,6,7,8,,,,
GRC,Greece,Greece,2,4,5,6,7,8,9,,
GRD,Grenada,Grenada,4,4,9,,,,,,
GRL,Greenland (Den.),Greenland,2,3,3,,,,,,
GTM,Guatemala,Guatemala,2,4,7,8,10,,,,
GUF,French Guiana (Fr.),French Guiana,3,4,5,6,7,,,,
GUM,Guam (USA),Guam,4,4,8,9,10,,,,
GUY,Guyana,Guyana,2,4,6,7,9,,,,
